Experiment ID,Accuracy,Precision,Recall,F1 Score,Final Train Loss,Final Val Loss
Config 1,0.9531,0.9507,0.9503,0.9502,0.2456,0.1712
Config 2,0.9395,0.9345,0.9365,0.9352,0.3303,0.2144
Config 3,0.9587,0.9554,0.9572,0.9563,0.2168,0.1757
Config 4,0.9168,0.9081,0.9151,0.9111,0.4336,0.2859
Config 5,0.9519,0.9476,0.9506,0.9489,0.2558,0.1738
Config 6,0.9594,0.9561,0.9576,0.9568,0.1876,0.1590
Config 7,0.8192,0.8052,0.8135,0.8070,0.8604,0.5678
Config 8,0.9603,0.9585,0.9580,0.9581,0.1529,0.1799
Config 9,0.1958,0.0196,0.1000,0.0328,2.2366,2.2291
Config 10,0.9521,0.9474,0.9500,0.9486,0.2752,0.1755
